"Date","SearchEngine","KeywordGroup","Website","Position"
"2014-07-02","Yahoo","dashboard","tableau","19"
"2014-07-02","Yahoo","interactive","tableau","1"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","interactive","tableau","11"
"2014-07-02","Yahoo","interactive","tableau","2"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","1"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","2"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","15"
"2014-07-02","Yahoo","word cloud","tableau","11"
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","word cloud","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","8"
"2014-07-02","Yahoo","word cloud","tableau","13"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","2"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","12"
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","interactive","tableau","4"
"2014-07-02","Yahoo","word cloud","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","dashboard","qlik",0
